Id|Name|Report Date|Avg mph|Total volume
7|A1M/9869K|2016-02-03T04:44:00|28|6
7|A1M/9869K|2016-02-03T04:59:00|34|4
7|A1M/9869K|2016-02-03T05:14:00|26|4
7|A1M/9869K|2016-02-03T05:29:00|27|6
7|A1M/9869K|2016-02-03T05:44:00|31|11
7|A1M/9869K|2016-02-03T05:59:00|31|11
7|A1M/9869K|2016-02-03T06:14:00|29|11
7|A1M/9869K|2016-02-03T06:29:00|29|13
7|A1M/9869K|2016-02-03T06:44:00|28|21
7|A1M/9869K|2016-02-03T06:59:00|31|38
7|A1M/9869K|2016-02-03T07:14:00|31|28
7|A1M/9869K|2016-02-03T07:29:00|31|46
7|A1M/9869K|2016-02-03T07:44:00|32|49
7|A1M/9869K|2016-02-03T07:59:00|33|50
7|A1M/9869K|2016-02-03T08:14:00|32|53
7|A1M/9869K|2016-02-03T08:29:00|32|52
7|A1M/9869K|2016-02-03T08:44:00|31|52
7|A1M/9869K|2016-02-03T08:59:00|31|30
7|A1M/9869K|2016-02-03T09:14:00|32|22
7|A1M/9869K|2016-02-03T09:29:00|32|33
7|A1M/9869K|2016-02-03T09:44:00|29|26
7|A1M/9869K|2016-02-03T09:59:00|30|29
7|A1M/9869K|2016-02-03T10:14:00|30|30
7|A1M/9869K|2016-02-03T10:29:00|29|29
7|A1M/9869K|2016-02-03T10:44:00|30|21
7|A1M/9869K|2016-02-03T10:59:00|31|31
7|A1M/9869K|2016-02-03T11:14:00|31|23
7|A1M/9869K|2016-02-03T11:29:00|29|36
7|A1M/9869K|2016-02-03T11:44:00|31|30
7|A1M/9869K|2016-02-03T11:59:00|29|22
7|A1M/9869K|2016-02-03T12:14:00|30|22
7|A1M/9869K|2016-02-03T12:29:00|32|24
7|A1M/9869K|2016-02-03T12:44:00|32|26
7|A1M/9869K|2016-02-03T12:59:00|29|31
7|A1M/9869K|2016-02-03T13:14:00|30|21
7|A1M/9869K|2016-02-03T13:29:00|30|31
7|A1M/9869K|2016-02-03T13:44:00|31|29
7|A1M/9869K|2016-02-03T13:59:00|32|32
7|A1M/9869K|2016-02-03T14:14:00|31|29
7|A1M/9869K|2016-02-03T14:29:00|30|31
7|A1M/9869K|2016-02-03T14:44:00|31|33
7|A1M/9869K|2016-02-03T14:59:00|32|22
7|A1M/9869K|2016-02-03T15:14:00|32|39
7|A1M/9869K|2016-02-03T15:29:00|33|34
7|A1M/9869K|2016-02-03T15:44:00|31|26
7|A1M/9869K|2016-02-03T15:59:00|31|36
7|A1M/9869K|2016-02-03T16:14:00|31|47
7|A1M/9869K|2016-02-03T16:29:00|32|47
7|A1M/9869K|2016-02-03T16:44:00|31|52
7|A1M/9869K|2016-02-03T16:59:00|32|43
7|A1M/9869K|2016-02-03T17:14:00|33|61
7|A1M/9869K|2016-02-03T17:29:00|31|51
7|A1M/9869K|2016-02-03T17:44:00|32|53
7|A1M/9869K|2016-02-03T17:59:00|32|47
7|A1M/9869K|2016-02-03T18:14:00|32|47
7|A1M/9869K|2016-02-03T18:29:00|33|24
7|A1M/9869K|2016-02-03T18:44:00|30|27
7|A1M/9869K|2016-02-03T18:59:00|33|16
7|A1M/9869K|2016-02-03T19:14:00|28|18
7|A1M/9869K|2016-02-03T19:29:00|31|15
7|A1M/9869K|2016-02-03T19:44:00|31|14
7|A1M/9869K|2016-02-03T19:59:00|35|16
7|A1M/9869K|2016-02-03T20:14:00|31|12
7|A1M/9869K|2016-02-03T20:29:00|31|8
7|A1M/9869K|2016-02-03T20:44:00|30|11
7|A1M/9869K|2016-02-03T20:59:00|33|13
7|A1M/9869K|2016-02-03T21:14:00|30|11
7|A1M/9869K|2016-02-03T21:29:00|30|7
7|A1M/9869K|2016-02-03T21:44:00|32|3
7|A1M/9869K|2016-02-03T21:59:00|32|6
7|A1M/9869K|2016-02-03T22:14:00|28|4
7|A1M/9869K|2016-02-03T22:29:00|31|7
7|A1M/9869K|2016-02-03T22:44:00|32|14
7|A1M/9869K|2016-02-03T22:59:00|32|3
7|A1M/9869K|2016-02-03T23:14:00|30|4
7|A1M/9869K|2016-02-03T23:29:00|26|3
7|A1M/9869K|2016-02-03T23:44:00|32|1
7|A1M/9869K|2016-02-03T23:59:00|33|3
7|A1M/9869K|2016-02-04T00:14:00|0|0
7|A1M/9869K|2016-02-04T00:29:00|0|0
7|A1M/9869K|2016-02-04T00:44:00|0|0
7|A1M/9869K|2016-02-04T00:59:00|0|0
7|A1M/9869K|2016-02-04T01:14:00|24|3
7|A1M/9869K|2016-02-04T01:29:00|27|5
7|A1M/9869K|2016-02-04T01:44:00|36|2
7|A1M/9869K|2016-02-04T01:59:00|21|1
7|A1M/9869K|2016-02-04T02:14:00|22|1
7|A1M/9869K|2016-02-04T02:29:00|0|0
7|A1M/9869K|2016-02-04T02:44:00|0|0
7|A1M/9869K|2016-02-04T02:59:00|26|1
7|A1M/9869K|2016-02-04T03:14:00|21|1
7|A1M/9869K|2016-02-04T03:29:00|0|0
7|A1M/9869K|2016-02-04T03:44:00|26|3
7|A1M/9869K|2016-02-04T03:59:00|33|2
7|A1M/9869K|2016-02-04T04:14:00|0|0
7|A1M/9869K|2016-02-04T04:29:00|35|3
7|A1M/9869K|2016-02-04T04:44:00|26|3
7|A1M/9869K|2016-02-04T04:59:00|34|3
7|A1M/9869K|2016-02-04T05:14:00|21|7
7|A1M/9869K|2016-02-04T05:29:00|31|2
